	wavelength	counts
536	431.215941	132.0
537	431.576644	131.0
538	431.937309	158.0
539	432.297937	132.0
540	432.658528	133.0
541	433.019081	137.0
542	433.379596	129.0
543	433.740075	128.0
544	434.100515	130.0
545	434.460919	133.0
546	434.821284	133.0
547	435.181613	134.0
548	435.541904	129.0
549	435.902157	130.0
550	436.262373	128.0
551	436.622551	132.0
552	436.982692	135.0
553	437.342796	128.0
554	437.702861	134.0
555	438.06289	132.0
556	438.42288	138.0
557	438.782833	140.0
558	439.142749	139.0
559	439.502627	137.0
560	439.862467	132.0
561	440.22227	134.0
562	440.582035	128.0
563	440.941763	133.0
564	441.301453	135.0
565	441.661105	136.0
566	442.020719	137.0
567	442.380296	136.0
568	442.739836	137.0
569	443.099337	136.0
570	443.458801	134.0
571	443.818227	137.0
572	444.177616	135.0
573	444.536967	138.0
574	444.89628	143.0
575	445.255555	145.0
576	445.614793	187.0
577	445.973992	137.0
578	446.333154	135.0
579	446.692279	139.0
580	447.051365	136.0
581	447.410414	134.0
582	447.769425	139.0
583	448.128398	136.0
584	448.487334	137.0
585	448.846231	150.0
586	449.205091	142.0
587	449.563913	141.0
588	449.922697	192.0
589	450.281443	144.0
590	450.640151	133.0
591	450.998821	139.0
592	451.357454	136.0
593	451.716048	134.0
594	452.074605	134.0
595	452.433124	138.0
596	452.791605	138.0
597	453.150048	141.0
598	453.508452	140.0
599	453.86682	133.0
600	454.225149	135.0
601	454.58344	135.0
602	454.941693	138.0
603	455.299908	134.0
604	455.658085	134.0
605	456.016224	136.0
606	456.374325	134.0
607	456.732388	133.0
608	457.090413	134.0
609	457.4484	144.0
610	457.806349	140.0
611	458.16426	169.0
612	458.522133	138.0
613	458.879967	138.0
614	459.237764	133.0
615	459.595523	136.0
616	459.953243	131.0
617	460.310925	135.0
618	460.668569	131.0
619	461.026175	135.0
620	461.383743	133.0
621	461.741273	135.0
622	462.098765	130.0
623	462.456218	132.0
624	462.813633	132.0
625	463.17101	134.0
626	463.528349	179.0
627	463.88565	133.0
628	464.242912	130.0
629	464.600136	133.0
630	464.957322	132.0
631	465.31447	131.0
632	465.671579	271.0
633	466.02865	135.0
634	466.385683	129.0
635	466.742678	136.0
636	467.099634	137.0
637	467.456552	135.0
638	467.813432	135.0
639	468.170273	132.0
640	468.527076	136.0
641	468.883841	132.0
642	469.240567	131.0
643	469.597255	133.0
644	469.953905	131.0
645	470.310516	130.0
646	470.667089	143.0
647	471.023624	133.0
648	471.38012	132.0
649	471.736577	135.0
650	472.092997	147.0
651	472.449377	138.0
652	472.80572	132.0
653	473.162024	134.0
654	473.518289	129.0
655	473.874516	133.0
656	474.230705	136.0
657	474.586855	134.0
658	474.942966	131.0
659	475.299039	133.0
660	475.655074	130.0
661	476.01107	126.0
662	476.367027	134.0
663	476.722946	134.0
664	477.078827	130.0
665	477.434669	135.0
